symbol
TSLA
DJT
BTC-USD
YM=F
COIN
SMCI
ES=F
META
JPM
INTC
BAC
SOFI
AMZN
RTY=F
ENPH
IWM
UPST
SPY
GOOG
C
RIVN
GS
RIOT
FSLR
WFC
TNA
MARA
ETH-USD
UNH
SQ
